POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,
SG,55,36.7,35.2,10.2,23.0,44.3,4.6,12.7,36.3,10.2,11.8,86.3,6.4,7.3,1.7,0.9,4.4,18,3,29.45,
SG,50,35.8,30.1,10.3,22.5,45.7,2.7,8.1,33.3,6.9,8.1,84.7,4.4,6.0,1.1,0.4,3.4,7,0,22.87,
PG,54,35.5,30.1,9.3,20.9,44.3,3.5,9.5,36.9,8.0,9.3,85.9,4.4,9.2,1.1,0.1,4.8,24,2,24.56,
PF,52,30.9,29.7,10.9,19.8,55.1,1.5,4.7,31.4,6.4,10.3,62.1,13.7,5.8,1.1,1.1,3.7,47,4,32.02,
PG,54,37.0,29.5,9.4,20.4,46.0,3.9,10.0,39.3,6.8,7.7,88.9,4.4,7.9,1.0,0.3,2.9,16,1,26.79,
SG,47,32.7,28.7,9.5,20.4,46.4,2.9,9.0,32.3,6.9,9.0,76.2,9.6,8.7,1.0,0.2,4.2,31,13,28.81,
PG,48,35.9,27.3,10.7,22.7,47.0,1.0,3.9,24.9,5.0,6.4,78.7,7.9,7.2,1.6,0.3,4.3,20,8,21.61,
SF,45,32.5,27.1,9.4,20.4,46.3,2.1,5.7,36.9,6.2,6.8,90.2,7.7,5.2,1.8,0.6,3.0,13,1,26.73,
PF,49,34.7,26.7,9.2,18.1,50.9,1.1,3.4,32.3,7.1,8.4,84.5,9.5,3.3,1.5,2.5,2.5,26,0,28.18,
SG,56,35.9,26.1,8.8,18.0,48.9,2.0,5.5,35.6,6.5,7.1,92.2,4.1,6.5,0.7,0.2,3.9,8,0,20.16,
PG,59,34.7,25.5,9.0,19.9,45.1,3.1,8.1,37.8,4.5,5.6,80.9,4.8,4.2,1.5,0.5,3.5,2,0,19.69,
SF,54,34.9,25.5,9.7,19.6,49.4,2.2,6.3,34.9,3.9,5.6,69.1,7.7,10.6,1.2,0.5,4.0,38,12,25.62,
SF,50,34.0,24.7,8.5,17.9,47.4,2.5,6.3,40.0,5.3,6.1,86.0,6.3,4.3,1.0,0.7,3.1,8,0,20.40,
SG,57,34.4,24.7,9.1,19.9,45.9,2.5,6.8,36.3,4.0,4.6,85.6,4.3,4.3,1.1,0.2,2.7,1,0,19.59,
PF,47,35.0,23.7,8.7,18.9,46.4,2.2,5.9,37.3,4.0,4.9,80.6,7.5,3.4,0.9,0.9,2.4,11,0,19.23,
PF,54,34.3,23.3,8.4,18.5,45.3,2.8,7.0,39.8,3.8,4.6,82.2,7.0,2.9,1.3,0.9,2.2,9,0,20.64,
C,43,30.3,23.3,7.5,15.9,47.2,1.3,3.7,34.2,7.0,8.6,81.4,11.8,3.1,0.9,1.3,3.0,33,0,25.75,
SF,55,34.1,22.8,8.5,16.0,53.1,0.1,0.5,26.7,5.7,6.7,84.8,5.7,5.3,1.0,0.2,2.5,4,0,21.91,
SG,48,34.3,22.0,8.2,18.3,44.8,2.1,6.3,33.9,3.5,4.9,72.2,5.0,3.6,0.8,0.9,2.5,2,1,16.60,
SG,55,35.9,21.9,8.6,19.3,44.7,2.8,7.2,38.8,1.8,2.4,73.9,4.0,4.1,0.7,0.7,1.9,4,0,16.68,
PG,46,32.2,21.8,7.2,16.8,43.0,3.4,8.7,38.8,3.9,4.5,86.6,4.1,5.0,1.0,0.5,2.1,2,0,21.12,
SF,51,29.9,21.1,7.7,15.2,50.8,2.4,5.5,43.8,3.3,3.6,90.7,6.3,4.2,1.0,0.1,2.0,5,0,22.39,
C,58,32.4,20.8,8.1,15.3,52.8,1.2,3.6,33.2,3.5,4.2,81.7,10.0,6.8,1.2,0.7,3.0,35,11,25.76,
PG,57,31.4,20.8,6.8,16.4,41.6,1.9,6.2,30.6,5.3,6.8,77.1,3.5,6.6,0.6,0.3,2.7,7,0,17.75,
SF,48,34.4,20.5,6.1,13.5,45.2,0.6,2.4,24.6,7.7,9.1,83.8,6.8,6.2,1.8,0.6,2.3,10,3,23.75,
SG,48,33.8,20.4,7.5,15.3,49.4,2.1,5.5,38.3,3.2,4.3,74.1,6.4,2.1,1.1,0.3,2.3,6,0,17.36,
SF,57,33.3,20.3,6.6,14.9,44.5,3.0,7.3,41.4,4.0,4.5,90.2,4.2,2.0,0.6,0.1,2.5,0,0,15.75,
